"526" | BBox: (53.880001068115234, 782.2770385742188, 67.5, 792.239990234375)
"序号" | BBox: (44.15999984741211, 76.85371398925781, 59.880001068115234, 84.89370727539062)
"税则号列" | BBox: (64.94400024414062, 76.85371398925781, 96.3840103149414, 84.89370727539062)
"货品名称" | BBox: (146.17999267578125, 76.85371398925781, 177.6199951171875, 84.89370727539062)
"最惠国税率" | BBox: (224.80999755859375, 76.85371398925781, 261.6499938964844, 84.89370727539062)
"(%)" | BBox: (260.92999267578125, 76.59642791748047, 272.12969970703125, 85.49671173095703)
"协定税率" | BBox: (347.95001220703125, 76.85371398925781, 379.3899841308594, 84.89370727539062)
"(%)" | BBox: (379.2699890136719, 76.59642791748047, 392.8000183105469, 85.49671173095703)
"特惠税率" | BBox: (469.05999755859375, 76.85371398925781, 498.7000427246094, 84.89370727539062)
"(%)" | BBox: (497.9800109863281, 76.59642791748047, 510.6700134277344, 85.49671173095703)
"普通税率" | BBox: (512.5, 76.85371398925781, 542.1400146484375, 84.89370727539062)
"(%)" | BBox: (541.4199829101562, 76.59642791748047, 554.1099853515625, 85.49671173095703)
"3323" | BBox: (43.08000183105469, 89.09642791748047, 59.48999786376953, 97.99671173095703)
"4011.9010 ---" | BBox: (61.560001373291016, 88.24107360839844, 109.09700775146484, 98.20407104492188)
"人字形胎面或类似胎面的" | BBox: (108.9800033569336, 88.52906799316406, 203.9119873046875, 97.52906799316406)
"17" | BBox: (243.64999389648438, 88.24107360839844, 254.89999389648438, 98.20407104492188)
"0" | BBox: (286.1300048828125, 88.24107360839844, 292.70001220703125, 98.20407104492188)
"东盟" | BBox: (304.489990234375, 88.52906799316406, 322.0099792480469, 97.52906799316406)
"AS," | BBox: (321.6700134277344, 88.24107360839844, 334.9540100097656, 98.20407104492188)
"智" | BBox: (334.8699951171875, 88.52906799316406, 343.8699951171875, 97.52906799316406)
"CL," | BBox: (343.3900146484375, 88.24107360839844, 356.6739807128906, 98.20407104492188)
"新西兰" | BBox: (356.5899963378906, 88.52906799316406, 382.7530212402344, 97.52906799316406)
"NZ," | BBox: (382.3900146484375, 88.24107360839844, 396.1600036621094, 98.20407104492188)
"新加坡" | BBox: (396.07000732421875, 88.52906799316406, 422.2330322265625, 97.52906799316406)
"SG," | BBox: (421.75, 88.24107360839844, 435.1600036621094, 98.20407104492188)
"秘" | BBox: (434.95001220703125, 88.52906799316406, 443.95001220703125, 97.52906799316406)
"PE," | BBox: (443.5, 88.24107360839844, 455.95599365234375, 98.20407104492188)
"哥" | BBox: (455.739990234375, 88.52906799316406, 464.739990234375, 97.52906799316406)
"CR," | BBox: (304.489990234375, 100.24107360839844, 318.260009765625, 110.20407104492188)
"瑞" | BBox: (318.07000732421875, 100.52906799316406, 327.07000732421875, 109.52906799316406)
"CH," | BBox: (326.7099914550781, 100.24107360839844, 340.95697021484375, 110.20407104492188)
"冰" | BBox: (340.8699951171875, 100.52906799316406, 349.8699951171875, 109.52906799316406)
"IS," | BBox: (349.3900146484375, 100.24107360839844, 359.3260192871094, 110.20407104492188)
"韩" | BBox: (359.1099853515625, 100.52906799316406, 368.1099853515625, 109.52906799316406)
"KR," | BBox: (367.75, 100.24107360839844, 381.9969787597656, 110.20407104492188)
"澳" | BBox: (381.9100036621094, 100.52906799316406, 390.9100036621094, 109.52906799316406)
"AU," | BBox: (390.54998779296875, 100.24107360839844, 405.27996826171875, 110.20407104492188)
"格" | BBox: (405.19000244140625, 100.52906799316406, 414.19000244140625, 109.52906799316406)
"GE," | BBox: (413.8299865722656, 100.24107360839844, 427.5999755859375, 110.20407104492188)
"毛" | BBox: (427.3900146484375, 100.52906799316406, 436.3900146484375, 109.52906799316406)
"MU," | BBox: (435.9100036621094, 100.24107360839844, 452.20001220703125, 110.20407104492188)
"东" | BBox: (452.1400146484375, 100.52906799316406, 461.1400146484375, 109.52906799316406)
"盟" | BBox: (304.489990234375, 112.52906799316406, 313.489990234375, 121.52906799316406)
"R" | BBox: (313.010009765625, 110.95404815673828, 317.01202392578125, 117.5960464477539)
"AS" | BBox: (316.8699951171875, 112.24107360839844, 328.1139831542969, 122.20407104492188)
"R" | BBox: (328.0299987792969, 110.95404815673828, 332.0320129394531, 117.5960464477539)
"," | BBox: (331.75, 112.24107360839844, 334.0, 122.20407104492188)
"澳" | BBox: (333.7900085449219, 112.52906799316406, 342.7900085449219, 121.52906799316406)
"R" | BBox: (342.42999267578125, 110.95404815673828, 346.4320068359375, 117.5960464477539)
"AU" | BBox: (346.2699890136719, 112.24107360839844, 359.0079650878906, 122.20407104492188)
"R" | BBox: (358.8699951171875, 110.95404815673828, 362.87200927734375, 117.5960464477539)
"," | BBox: (362.5899963378906, 112.24107360839844, 364.8399963378906, 122.20407104492188)
"新西兰" | BBox: (364.6300048828125, 112.52906799316406, 390.9100341796875, 121.52906799316406)
"R" | BBox: (390.54998779296875, 110.95404815673828, 394.552001953125, 117.5960464477539)
"NZ" | BBox: (394.2699890136719, 112.24107360839844, 406.00897216796875, 122.20407104492188)
"R" | BBox: (405.9100036621094, 110.95404815673828, 409.9120178222656, 117.5960464477539)
"," | BBox: (409.6300048828125, 112.24107360839844, 411.8800048828125, 122.20407104492188)
"柬" | BBox: (411.7900085449219, 112.52906799316406, 420.7900085449219, 121.52906799316406)
"KH," | BBox: (420.30999755859375, 112.24107360839844, 435.15997314453125, 122.20407104492188)
"马" | BBox: (434.95001220703125, 112.52906799316406, 443.95001220703125, 121.52906799316406)
"MV," | BBox: (443.5, 112.24107360839844, 458.7099914550781, 122.20407104492188)
"港" | BBox: (304.489990234375, 124.52906799316406, 313.489990234375, 133.52906799316406)
"HK," | BBox: (313.010009765625, 124.24107360839844, 327.8599853515625, 134.20407104492188)
"澳门" | BBox: (327.6700134277344, 124.52906799316406, 345.3100280761719, 133.52906799316406)
"MO," | BBox: (344.8299865722656, 124.24107360839844, 361.23699951171875, 134.20407104492188)
"台" | BBox: (361.0299987792969, 124.52906799316406, 370.0299987792969, 133.52906799316406)
"TW" | BBox: (369.6700134277344, 124.24107360839844, 385.6000061035156, 134.20407104492188)
